productos,descripcion,precio,restaurante,imagen
Combo Burrito,"Combo con burrito a elección, papas fritas con alioli de chile morita, acompañamiento y bebida",31800,La Escuincla Taquería,https://images.rappi.com/products/2093718459-1625699029317.png
Combo Torta,Sanduche (Torta) a elección con un acompañamiento de la casa y bebida a elección.,37600,La Escuincla Taquería,https://images.rappi.com/products/2093718459-1625699029317.png
Combo para 2 Personas,"Elige 1 torta, 4 tacos, un acompañamiento y dos bebidas.",89100,La Escuincla Taquería,https://images.rappi.com/products/2092461385-1598485634950.png
Combo 2021,"Torta de rib eye, una torta pastor, unos totopos con guacamole y dos cervezas BBC cotidiana 270ml.",74800,La Escuincla Taquería,https://images.rappi.com/products/2092495632-1599175941118.png
Dupla de Tacos,"Combo con 2 Tacos, Carnitas y Pollo Frito",13000,La Escuincla Taquería,https://images.rappi.com/products/2092714372-1604094266559.png
La Escuincla Taquiza,"12 Tacos a elección, totopos grandes con guacamole y 4 cervezas BBC cotidiana 270 ml.",115900,La Escuincla Taquería,https://images.rappi.com/products/2093603624-1623351747211.png
Combo Tacos,Escoge 3 tacos de la carta mas un acompañamiento y una bebida,33400,La Escuincla Taquería,https://images.rappi.com/products/2092552604-1601305543470.png
Burro de Rib Eye,"Burro de corte de res madurado, Arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana, pico de gallo, salsa tomatillo y chile morita y ajos rostizados",20900,La Escuincla Taquería,https://images.rappi.com/products/2092460448-1630600882920.jpg
Burro Camaron,"Burro con camarones en tempura de cerveza, Arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana, pico de gallo, salsa tomatillo y chile morita y ajos rostizados.",20900,La Escuincla Taquería,https://images.rappi.com/products/2093716330-1625671066029.png
Burro de Chicharron,"Burro de chicharrón con alioli de habanero, arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana, pico de gallo, queso 7 cueros rallado, salsa tomatillo y chile morita y ajos rostizados.",17900,La Escuincla Taquería,https://images.rappi.com/products/2093716335-1625671204302.png
Burro de Cochinita Pibill,"Burro de cochinita pibil por 8 horas de horno envuelto en hoja de plátano y 24 horas de marinada en achiote y especias de la casa, arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana, queso 7 cueros rallado, pico de gallo, salsa tomatillo y chile morita y ajos rostizados",17900,La Escuincla Taquería,https://images.rappi.com/products/2093716339-1625671361170.png
Burro de Pollo Frito,"Burro con pollo crispy, arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana, queso 7 cueros rallado, pico de gallo, salsa tomatillo y chile morita y ajos rostizados",17900,La Escuincla Taquería,https://images.rappi.com/products/2093716346-1630600764343.jpg
Burro al pastor,"Burro con cabeza de lomo de cerdo marinado por 24 horas, asado con piña, arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana, queso 7 cueros rallado, pico de gallo, salsa tomatillo y chile morita y ajos rostizados",17900,La Escuincla Taquería,https://images.rappi.com/products/2093716349-1625671623902.png
Burro de Carnitas,"Burro con  cerdo confitado por 8 horas, salteado en menta con cilantro, arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana, queso 7 cueros, pico de gallo, salsa tomatillo y chile morita y ajos rostizados",17900,La Escuincla Taquería,https://images.rappi.com/products/2093716353-1625671740941.png
Burro Vegetariano,"Burro con lechuga asiática, portobello y espárragos parrillados, arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana, queso 7 cueros rallado, pico de gallo, salsa tomatillo y chile morita y ajos rostizados",15900,La Escuincla Taquería,https://images.rappi.com/products/2093716362-1630600785041.jpg
Burro de Pollo Desenhebrado,"Burro con  pollo parrillada, arroz parbolizado, frijol refrito, crema agria, guacamole, lechuga romana,  queso 7 cueros rallado, pico de gallo, salsa tomatillo y chile morita y ajos rostizados",15900,La Escuincla Taquería,https://images.rappi.com/products/2093716367-1625671966175.png
Taco de chicharrón,"Taco de chicharrón con alioli de habanero, salsa chipotle-naranja-bocadillo, cebolla larga picada y cilantro.",6500,La Escuincla Taquería,https://images.rappi.com/products/2093716434-1630600808757.jpg
Taco de Rib Eye,Taco de tortilla de maíz con corte de res madurado en casa con cebolla morada picada y cilantro.,7900,La Escuincla Taquería,https://images.rappi.com/products/2093476853-1619821897459.jpg
Taco de Camarón,"Taco de tortilla de maíz con camarones en tempura de cerveza, alioli, cebolla morada, cilantro, guacamole, crema agria y chile morita.",7900,La Escuincla Taquería,https://images.rappi.com/products/2092411205-1599238231485.png
Taco de Cochinita Pibil,"Taco de tortilla de maíz con cochinita pibil por 8 horas de horno envuelto en hoja de plátano y 24 horas de marinada en achiote y especias de la casa con cebolla morada encurtida con jalapeños, cilantro y salsa a elección.",6500,La Escuincla Taquería,https://images.rappi.com/products/2092411206-1597937493937.jpg
Taco de Pollo Frito,"Taco de tortilla de maíz con pollo crispy, guacamole, cilantro crema agria, y chile morita.",7000,La Escuincla Taquería,https://images.rappi.com/products/2092411203-1597959381842.jpg
Taco al Pastor,"Taco de tortilla de maíz con cabeza de lomo de cerdo marinado por 24 horas, asado con piña, cebolla morada encurtida y cilantro.",6500,La Escuincla Taquería,https://images.rappi.com/products/2092411202-1597937365257.jpg
Taco de Carnitas,"Taco de tortilla de maíz con cerdo confitado por 8 horas, salteado en menta con cilantro, lechuga, cebolla caramelizada, polvo de chicharrón y salsa a elección.",6500,La Escuincla Taquería,https://images.rappi.com/products/2092411208-1597938979619.jpg
Taco Vegetariano,"Taco de tortilla de maíz con lechuga asiática, portobello y espárragos parrillados, hilos de zanahoria, piña asada y salsa a elección.",5900,La Escuincla Taquería,https://images.rappi.com/products/2092411200-1597940573176.jpg
Taco de Pollo Deshebrado,"Taco de tortilla de maíz con pollo parrillada, guacamole, pico de gallo, cilantro. crema agria, chile morita y guacamole",5900,La Escuincla Taquería,https://images.rappi.com/products/2092411207-1597958942902.jpg
Torta Camarón,"Sanduche de ciabatta de masa madre con camarones rebozados en tempura de cerveza, alioli, salsa a elección, cebolla morada, cilantro y guacamole.",28900,La Escuincla Taquería,https://images.rappi.com/products/2092411201-1597940510832.jpg
Torta Rib Eye Caramelo Jengibre,"Sanduche de ciabatta de masa madre con corte de res madurado en casa por al menos 18 días, cebolla morada salteados en caramelo de chipotle ahumado, cebolla morada, cilantro, guacamole, salsa a elección y hilos de zanahoria frita.",28900,La Escuincla Taquería,https://images.rappi.com/products/2092411218-1597939237468.jpg
Torta Pastor,"Sanduche de ciabatta de masa madre con cabeza de lomo de cerdo marinado 24 horas, asado con piña, cebolla morada encurtida, cilantro y salsa a elección.",25900,La Escuincla Taquería,https://images.rappi.com/products/2092411215-1597939573568.jpg
Torta de Carnitas,"Sanduche de ciabatta de masa madre con cerdo confitado por 8 horas, salteado en menta con cilantro, lechuga, cebolla caramelizada, polvo de chicharrón y salsa a elección.",24900,La Escuincla Taquería,https://images.rappi.com/products/2092411223-1597938455279.jpg
Torta de Cochinita Pibil,"Sanduche de pan ciabatta de masa madre con 8 horas de horno envuelta en hoja de plátano y 24 horas de marinada en achiote y especias de la casa con cebolla morada encurtida con jalapeños, lechuga, cilantro y salsa a elección.",24900,La Escuincla Taquería,https://images.rappi.com/products/2092411212-1599663303947.png
Torta Pollo Frito,"Sanduche de ciabatta de masa madre con pollo crispy, guacamole, cilantro, alioli, salsa a elección y cebolla larga.",23900,La Escuincla Taquería,https://images.rappi.com/products/2092411211-1597938932273.jpg
Torta Vegetariana,"Sanduche de ciabatta de masa madre con lechuga asiática, portobello y espárragos parrillados, hilos de zanahoria y salsa a elección.",21900,La Escuincla Taquería,https://images.rappi.com/products/2092411214-1597937431819.jpg
Torta de Pollo al Curry,"Sanduche de ciabatta de masa madre con lechuga, rábanos encurtidos, polvo de maní caramelizado picante, hilos de repollo encurtido, salsa a elección y cilantro.",21900,La Escuincla Taquería,https://images.rappi.com/products/2092411221-1599663250286.png
Torta de Pollo Deshebrado,"Sanduche de pan ciabatta de masa madre con pollo parrillado, guacamole, pico de gallo, salsa a elección y cilantro.",21900,La Escuincla Taquería,https://images.rappi.com/products/2092411224-1599248511245.png
Bowl con Pollo Frito,"Bowl con pollo frito 180gr, base de arroz parbolizado guacamole, lechuga romana, cebolla morada encurtida, rábano encurtido, crema agria, tiras de tortilla de maíz frita y cilantro.",29900,La Escuincla Taquería,https://images.rappi.com/products/2092411213-1597937814742.jpg
Bowl Vegetariano,"Bowl con guacamole, base Arroz Parbolizado, lechuga romana, cebolla morada encurtida, rábano encurtido, crema agria, tiras de tortilla de maíz frita y cilantro.",28900,La Escuincla Taquería,https://images.rappi.com/products/2093138564-1612555028461.png
Bowl Pollo Deshebrado,"Bowl con pollo deshebrado 180gr, base arroz parbolizado guacamole, lechuga romana, cebolla morada encurtida, rábano encurtido, crema agria, tiras de tortilla de maíz frita y cilantro.",28900,La Escuincla Taquería,https://images.rappi.com/products/2093138586-1612536424325.png
Bowl Cochinita Pibill,"Bowl de cochinita pibill 180gr, base arroz parbolizado con guacamole, lechuga romana, cebolla morada encurtida, rábano encurtido, crema agria, tiras de tortilla de maíz frita y cilantro.",32900,La Escuincla Taquería,https://images.rappi.com/products/2093138592-1612536956934.png
Bowl al Pastor,"Bowl con cabeza de lomo de cerdo marinado asado con piña, base con arroz parbolizado, guacamole, lechuga romana, cebolla morada encurtida, rábano encurtido, crema agria, tiras de tortilla de maíz frita y cilantro.",32900,La Escuincla Taquería,https://images.rappi.com/products/2093138622-1612807820555.png
Bowl Carnitas,"Bowl con cerdo confitado, base arroz parbolizado salteado en menta con cilantro, guacamole, lechuga romana, cebolla morada encurtida, rábano encurtido, crema agria, tiras de tortilla de maíz frita y cilantro.",32900,La Escuincla Taquería,https://images.rappi.com/products/2093138643-1630962147739.jpg
Bowl Camaron,"Bowl con camarones rebozados en tempura de cerveza, base arroz parbolizado, guacamole, lechuga romana, cebolla morada encurtida, rábano encurtido, crema agria, tiras de tortilla de maíz frita y cilantro",36900,La Escuincla Taquería,https://images.rappi.com/products/2093138648-1612813941226.png
Bowl Rib Eye Caramelo Jengibre,"Bowl con corte de res madurado, base arroz parbolizado, guacamole, lechuga romana, cebolla morada encurtida, rábano encurtido, crema agria, tiras de tortilla de maíz frita y cilantro.",36900,La Escuincla Taquería,https://images.rappi.com/products/2093138654-1612538308643.png
Combo La Escuincla Burger,"Hamburguesa La Escuincla, un acompañamiento y bebida a elección",43600,La Escuincla Taquería,https://images.rappi.com/products/2093138659-1612807875495.png
Escuincla Doble Poder,"Hamburguesa doble carne angus de 150gr c/u, pepino, rábano, cebollas encurtidas, tortilla de maíz, alioli de habanero, guacamole, lechuga romana y chipotle naranja",31900,La Escuincla Taquería,https://images.rappi.com/products/2092576162-1604442259735.png
La Escuincla Burger,"Hamburguesa de 150gr carne angus, pepino, rábano, cebollas encurtidas, tortilla de maíz, alioli de habanero, guacamole, lechuga romana y chipotle naranja",27900,La Escuincla Taquería,https://images.rappi.com/products/2092576154-1624922339936.png
Nachos La Escuincla,"Totopos caseros, salsa de queso cheddar artesanal, frijol refrito, crema agria, guacamole, rodajas de habanero encurtido y pico de gallo",23900,La Escuincla Taquería,https://images.rappi.com/products/2092891210-1624920066730.png
Quesadillas,Quesadillas Solas con queso 7 cueros gratinado y alioli de chile morita   x 4 triángulos . ,9900,La Escuincla Taquería,https://images.rappi.com/products/2093302824-1616101671313.jpg
Esquites de Carrito,"Esquites con granos de maíz cocidos lentamente en caldo de pollo, ajo, picadillo de jalapeño y habanero, cebolla, mayonesa, crema agria, polvo de chiles, queso oaxaca y limón.",12900,La Escuincla Taquería,https://images.rappi.com/products/2093881170-1630012772356.png
Totopos con Guacamole ,Totopos con guacamole.,12900,La Escuincla Taquería,https://images.rappi.com/products/2092411225-1597939861451.jpg
Rosquilla Escuincla,"Bao grande frito relleno, elige el sabor.
",6900,La Escuincla Taquería,https://images.rappi.com/products/2092411226-1597938225784.jpg
Hatsu Soda Uva Blanca Romero 300 ml ,soda,7900,La Escuincla Taquería,https://images.rappi.com/products/2090098593-1630599542282.jpg
Hatsu Soda Sandia Albahaca 300 ml ,soda,7900,La Escuincla Taquería,https://images.rappi.com/products/2091329834-1579719686426.png
Hatsu Soda Frambuesa Rosas 300 ml ,soda,7900,La Escuincla Taquería,https://images.rappi.com/products/2091329829-1579719686420.png
Pepsi Light 400 ml ,Gaseosas,5900,La Escuincla Taquería,https://images.rappi.com/products/2091329828-1579719686398.png
Pepsi 400 ml ,Gaseosas.,5900,La Escuincla Taquería,https://images.rappi.com/products/2093290032-1615937567481.png
Soda de Limón,Soda de limón casera.,7900,La Escuincla Taquería,https://images.rappi.com/products/2091336709-1579792261482.png
